Q,Change in Unemployment Rate,Change in Normalized AQI,City,Quadrant
2018-2,-5.723333333333336,-0.014377141810530486,Agartala,4
2018-2,1.236666666666666,-0.014065950052191911,Agra,2
2018-2,-0.1399999999999988,-0.014941672066233314,Aizwal,4
2018-2,-0.8766666666666669,-0.014164241522478527,Amritsar,4
2018-2,-1.3166666666666673,-0.01719467453316975,Asansol,4
2018-2,0.7166666666666672,-0.014418533589779542,Aurangabad,2
2018-2,1.236666666666666,-0.014406930070808621,Bareilly,2
2018-2,-0.7633333333333336,-0.01433546736937083,Belgaum,4
2018-2,-0.7633333333333336,-0.014116770413843432,Bengaluru,4
2018-2,-0.9899999999999998,-0.014368907443435497,Bhopal,4
2018-2,-0.8766666666666669,-0.013978636955105816,Chandigarh,4
2018-2,-0.8399999999999996,-0.01383505256517592,Chennai,4
2018-2,-0.8399999999999996,-0.014476069536901254,Coimbatore,4
2018-2,-0.43999999999999995,-0.014138875976806714,Dehradun,4
2018-2,4.843333333333334,-0.01333970786703187,Delhi,2
2018-2,3.9333333333333353,-0.013234142128309867,Faridabad,2
2018-2,-0.22666666666666657,-0.014416131812295535,Gandhinagar,4
2018-2,1.236666666666666,-0.013012520505902125,Ghaziabad,2
2018-2,1.236666666666666,-0.014606596517202697,Gorakhpur,2
2018-2,-0.9899999999999998,-0.014353883609206003,Gwalior,4
2018-2,-2.3066666666666666,-0.014332335424854903,Hyderabad,4
2018-2,-0.1399999999999988,-0.014369101861441691,Imphal,4
2018-2,-0.9899999999999998,-0.014685378580770292,Indore,4
2018-2,-0.9899999999999998,-0.014403972251659292,Jabalpur,4
2018-2,-1.1399999999999988,-0.01421125464711051,Jaipur,4
2018-2,-0.8766666666666669,-0.010830734352937688,Jalandhar,4
2018-2,-1.1399999999999988,-0.012690518730170408,Jodhpur,4
2018-2,1.236666666666666,-0.014178083614255627,Kanpur,2
2018-2,-1.2366666666666655,-0.014459856955895259,Kochi,4
2018-2,-0.1399999999999988,-0.01444620017217868,Kohima,4
2018-2,-1.3166666666666673,-0.014794548240652072,Kolkata,4
2018-2,-1.1399999999999988,-0.013547824308148049,Kota,4
2018-2,-1.2366666666666655,-0.01371907885983878,Kozhikode,4
2018-2,1.236666666666666,-0.014465575256074753,Lucknow,2
2018-2,-0.8766666666666669,-0.0112247835566337,Ludhiana,4
2018-2,-0.7633333333333336,-0.013339441414511571,Mangalore,4
2018-2,1.236666666666666,-0.01421762361949419,Meerut,2
2018-2,1.236666666666666,-0.014378616806078853,Moradabad,2
2018-2,0.7166666666666672,-0.015309502076520543,Mumbai,2
2018-2,-0.7633333333333336,-0.014301846686944578,Mysuru,4
2018-2,0.7166666666666672,-0.01716530144236189,Nashik,2
2018-2,-0.23000000000000043,-0.014837604918225167,Patna,4
2018-2,1.236666666666666,-0.014401591502302441,Prayagraj,2
2018-2,-1.906666666666667,-0.01400205076335595,Puducherry,4
2018-2,0.7166666666666672,-0.015365815673909156,Pune,2
2018-2,-1.3966666666666674,-0.014704477224738416,Shillong,4
2018-2,0.7166666666666672,-0.01959136215405463,Solapur,2
2018-2,-1.8566666666666656,-0.013854762434619639,Srinagar,4
2018-2,-1.2366666666666655,-0.014215256060023149,Thiruvananthapuram,4
2018-2,1.236666666666666,-0.014502772363238575,Varanasi,2
2018-2,-0.6033333333333335,-0.018907247931810284,Visakhapatnam,4
2018-3,8.343333333333334,-0.008672950941116753,Agartala,2
2018-3,2.0666666666666664,-0.008027209683021286,Agra,2
2018-3,0.6466666666666656,-0.007946017191473365,Aizwal,2
2018-3,0.3099999999999996,-0.007774446125016182,Amritsar,2
2018-3,-0.7200000000000006,-0.007095280124302578,Asansol,4
2018-3,-0.4266666666666672,-0.007857173680000329,Aurangabad,4
2018-3,2.0666666666666664,-0.007759607730595475,Bareilly,2
2018-3,-0.5866666666666667,-0.008034105268119457,Belgaum,4
2018-3,-0.5866666666666667,-0.007920601301490832,Bengaluru,4
2018-3,2.0999999999999996,-0.0080063850084231,Bhopal,2
2018-3,0.3099999999999996,-0.008062672157996331,Chandigarh,2
2018-3,0.16666666666666652,-0.0075527355955025965,Chennai,2
2018-3,0.16666666666666652,-0.007998400033192896,Coimbatore,2
2018-3,0.6133333333333331,-0.007792374470525082,Dehradun,2
2018-3,3.66,-0.010106457182439188,Delhi,2
2018-3,0.6633333333333304,-0.010890203915844499,Faridabad,2
2018-3,-1.3499999999999996,-0.006267620903003923,Gandhinagar,4
2018-3,2.0666666666666664,-0.010932552001528262,Ghaziabad,2
2018-3,2.0666666666666664,-0.00788033621762771,Gorakhpur,2
2018-3,2.0999999999999996,-0.007871766879176512,Gwalior,2
2018-3,-0.8166666666666668,-0.00831584448947606,Hyderabad,4
2018-3,0.6466666666666656,-0.007918897165977462,Imphal,2
2018-3,2.0999999999999996,-0.00787699041145229,Indore,2
2018-3,2.0999999999999996,-0.007874268453658198,Jabalpur,2
2018-3,1.3266666666666662,-0.007864969140623956,Jaipur,2
2018-3,0.3099999999999996,-0.010399746532507859,Jalandhar,2
2018-3,1.3266666666666662,-0.01357609628211405,Jodhpur,2
2018-3,2.0666666666666664,-0.007923214864186817,Kanpur,2
2018-3,0.2166666666666659,-0.007982957059834053,Kochi,2
2018-3,0.6466666666666656,-0.007863068368063386,Kohima,2
2018-3,-0.7200000000000006,-0.009254291002017023,Kolkata,4
2018-3,1.3266666666666662,-0.006925496069332127,Kota,2
2018-3,0.2166666666666659,-0.00812425204260972,Kozhikode,2
2018-3,2.0666666666666664,-0.007794310550785832,Lucknow,2
2018-3,0.3099999999999996,-0.009967401944537518,Ludhiana,2
2018-3,-0.5866666666666667,-0.008346841158566806,Mangalore,4
2018-3,2.0666666666666664,-0.008014939109774633,Meerut,2
2018-3,2.0666666666666664,-0.007765255016738248,Moradabad,2
2018-3,-0.4266666666666672,-0.007651244267465551,Mumbai,4
2018-3,-0.5866666666666667,-0.007923289232743824,Mysuru,4
2018-3,-0.4266666666666672,-0.004686785623393724,Nashik,4
2018-3,1.0999999999999996,-0.00836611014935923,Patna,2
2018-3,2.0666666666666664,-0.007725967691694674,Prayagraj,2
2018-3,0.9333333333333338,-0.007236114560577753,Puducherry,2
2018-3,-0.4266666666666672,-0.008702216203246516,Pune,4
2018-3,-2.999999999999999,-0.00822462608043506,Shillong,4
2018-3,-0.4266666666666672,-0.003455830932768064,Solapur,4
2018-3,-0.7766666666666673,-0.00771557184144106,Srinagar,4
2018-3,0.2166666666666659,-0.007369822461055456,Thiruvananthapuram,2
2018-3,2.0666666666666664,-0.007761166180164286,Varanasi,2
2018-3,0.7633333333333336,-0.0026656174589571036,Visakhapatnam,2
2018-4,2.573333333333334,0.024378786833223892,Agartala,1
2018-4,1.0633333333333335,0.025048474145732497,Agra,1
2018-4,0.7000000000000002,0.02446659335380233,Aizwal,1
2018-4,0.8099999999999996,0.025074986422899043,Amritsar,1
2018-4,-0.16333333333333222,0.028155692479365474,Asansol,3
2018-4,-0.2400000000000002,0.025003593687737524,Aurangabad,3
2018-4,1.0633333333333335,0.025028360404457745,Bareilly,1
2018-4,-0.07333333333333325,0.024928917292913064,Belgaum,3
2018-4,-0.07333333333333325,0.024467560146107015,Bengaluru,3
2018-4,2.2366666666666672,0.025068133998649794,Bhopal,1
2018-4,0.8099999999999996,0.024718033739554446,Chandigarh,1
2018-4,0.07666666666666644,0.025384406811675364,Chennai,1
2018-4,0.07666666666666644,0.024977089400141164,Coimbatore,1
2018-4,2.963333333333334,0.024691538574920957,Dehradun,1
2018-4,-0.23000000000000043,0.02637547515799077,Delhi,3
2018-4,2.3000000000000007,0.025304707067338894,Faridabad,1
2018-4,1.2299999999999995,0.023066795907329463,Gandhinagar,1
2018-4,1.0633333333333335,0.026078712130238213,Ghaziabad,1
2018-4,1.0633333333333335,0.025376483671572497,Gorakhpur,1
2018-4,2.2366666666666672,0.02492610512671742,Gwalior,1
2018-4,0.24,0.024140089714404178,Hyderabad,1
2018-4,0.7000000000000002,0.024251078514406832,Imphal,1
2018-4,2.2366666666666672,0.025254192308792223,Indore,1
2018-4,2.2366666666666672,0.025142464200828843,Jabalpur,1
2018-4,4.73,0.02477854832933346,Jaipur,1
2018-4,0.8099999999999996,0.022729478567717898,Jalandhar,1
2018-4,4.73,0.02718572402235929,Jodhpur,1
2018-4,1.0633333333333335,0.025064752633993354,Kanpur,1
2018-4,-0.05000000000000071,0.026211193462408217,Kochi,3
2018-4,0.7000000000000002,0.024388671994063443,Kohima,1
2018-4,-0.16333333333333222,0.02515337860979705,Kolkata,3
2018-4,4.73,0.024781431918117214,Kota,1
2018-4,-0.05000000000000071,0.025478717095940684,Kozhikode,3
2018-4,1.0633333333333335,0.024907075601814876,Lucknow,1
2018-4,0.8099999999999996,0.02397765332629942,Ludhiana,1
2018-4,-0.07333333333333325,0.025041019312829538,Mangalore,3
2018-4,1.0633333333333335,0.025130910419113167,Meerut,1
2018-4,1.0633333333333335,0.025171307003634014,Moradabad,1
2018-4,-0.2400000000000002,0.02434645001345842,Mumbai,3
2018-4,-0.07333333333333325,0.024747504838582277,Mysuru,3
2018-4,-0.2400000000000002,0.02293763965171311,Nashik,3
2018-4,1.663333333333333,0.02524355310818599,Patna,1
2018-4,1.0633333333333335,0.02474726900595911,Prayagraj,1
2018-4,-2.0400000000000005,0.025315270418810112,Puducherry,3
2018-4,-0.2400000000000002,0.025334137851456773,Pune,3
2018-4,-0.5900000000000003,0.023894405530933582,Shillong,3
2018-4,-0.2400000000000002,0.028873814660766925,Solapur,3
2018-4,1.2033333333333331,0.023915323941752276,Srinagar,1
2018-4,-0.05000000000000071,0.02625537785483613,Thiruvananthapuram,3
2018-4,1.0633333333333335,0.02455331645361697,Varanasi,1
2018-4,0.17999999999999972,0.023955063575739205,Visakhapatnam,1
2018-4,-2.834999999999999,0.021077073313779643,Gangtok,3
2019-1,-3.446666666666662,-0.011360893153793794,Agartala,4
2019-1,1.2599999999999998,-0.011351438301410915,Agra,2
2019-1,0.07000000000000028,-0.01126461969172289,Aizwal,2
2019-1,2.196666666666669,-0.01156999329471703,Amritsar,2
2019-1,0.23999999999999932,-0.009768285255059711,Asansol,2
2019-1,0.643333333333334,-0.011079173853559665,Aurangabad,2
2019-1,1.2599999999999998,-0.011532359323871089,Bareilly,2
2019-1,-0.009999999999999787,-0.01119900814227727,Belgaum,4
2019-1,-0.009999999999999787,-0.011214150544958723,Bengaluru,4
2019-1,-1.3900000000000006,-0.011636349720046124,Bhopal,4
2019-1,2.196666666666669,-0.011381195099296748,Chandigarh,2
2019-1,-0.10333333333333306,-0.011702013352717644,Chennai,4
2019-1,-0.10333333333333306,-0.012398899487118753,Coimbatore,4
2019-1,-0.08666666666666689,-0.011305162397204638,Dehradun,4
2019-1,1.7200000000000006,-0.012308183344764245,Delhi,2
2019-1,-1.336666666666666,-0.0120610450381064,Faridabad,4
2019-1,-0.09333333333333282,-0.011538926161879848,Gandhinagar,4
2019-1,1.2599999999999998,-0.012001405464213355,Ghaziabad,2
2019-1,1.2599999999999998,-0.011564054561844839,Gorakhpur,2
2019-1,-1.3900000000000006,-0.011306473071211826,Gwalior,4
2019-1,1.69,-0.01168504610576565,Hyderabad,2
2019-1,0.07000000000000028,-0.01096918503419747,Imphal,2
2019-1,-1.3900000000000006,-0.011648537450126367,Indore,4
2019-1,-1.3900000000000006,-0.011243434438004574,Jabalpur,4
2019-1,-4.35,-0.011526000692930721,Jaipur,4
2019-1,2.196666666666669,-0.011599149347718274,Jalandhar,2
2019-1,-4.35,-0.015452718585921732,Jodhpur,4
2019-1,1.2599999999999998,-0.011091277885651507,Kanpur,2
2019-1,-0.4333333333333327,-0.01214237358118024,Kochi,4
2019-1,0.07000000000000028,-0.01089246670340685,Kohima,2
2019-1,0.23999999999999932,-0.01181748142647332,Kolkata,2
2019-1,-4.35,-0.010470177634566313,Kota,4
2019-1,-0.4333333333333327,-0.011615409593035392,Kozhikode,4
2019-1,1.2599999999999998,-0.011202356644743339,Lucknow,2
2019-1,2.196666666666669,-0.011046111463913905,Ludhiana,2
2019-1,-0.009999999999999787,-0.011616815150590945,Mangalore,4
2019-1,1.2599999999999998,-0.011617246382053609,Meerut,2
2019-1,1.2599999999999998,-0.011693337737462839,Moradabad,2
2019-1,0.643333333333334,-0.010496160316017356,Mumbai,2
2019-1,-0.009999999999999787,-0.01219853927235083,Mysuru,4
2019-1,0.643333333333334,-0.010643757788461106,Nashik,2
2019-1,0.8399999999999999,-0.01163088247385502,Patna,2
2019-1,1.2599999999999998,-0.011120409600469838,Prayagraj,2
2019-1,0.49666666666666676,-0.01205519648181938,Puducherry,2
2019-1,0.643333333333334,-0.0113753933918056,Pune,2
2019-1,0.17333333333333378,-0.010496979468468837,Shillong,2
2019-1,0.643333333333334,-0.012358312042375766,Solapur,2
2019-1,4.2233333333333345,-0.011290780779360354,Srinagar,2
2019-1,-0.4333333333333327,-0.013074688798184742,Thiruvananthapuram,4
2019-1,1.2599999999999998,-0.011314183499812669,Varanasi,2
2019-1,0.3799999999999999,-0.009550202011533282,Visakhapatnam,2
2019-1,1.0316666666666663,-0.009754418081331248,Gangtok,2
2019-2,0.31999999999999673,-0.015395241418944688,Agartala,2
2019-2,1.870000000000001,-0.016067127546564253,Agra,2
2019-2,0.5133333333333336,-0.015430340234542136,Aizwal,2
2019-2,-0.6233333333333348,-0.016118117322342418,Amritsar,4
2019-2,-0.07000000000000028,-0.019635954933752198,Asansol,4
2019-2,0.4333333333333327,-0.015968559500277188,Aurangabad,2
2019-2,1.870000000000001,-0.016032269308713237,Bareilly,2
2019-2,2.4033333333333333,-0.015869546803521373,Belgaum,2
2019-2,2.4033333333333333,-0.015762154200477663,Bengaluru,2
2019-2,-0.5266666666666664,-0.01626227282943246,Bhopal,4
2019-2,-0.6233333333333348,-0.015663033578066032,Chandigarh,4
2019-2,-0.8400000000000001,-0.01578366190412417,Chennai,4
2019-2,-0.8400000000000001,-0.01580235127126968,Coimbatore,4
2019-2,0.3166666666666673,-0.015816224467270157,Dehradun,2
2019-2,-1.1433333333333344,-0.015816226486294438,Delhi,4
2019-2,2.8633333333333333,-0.01567451095407496,Faridabad,2
2019-2,-1.3466666666666667,-0.015742478002019833,Gandhinagar,4
2019-2,1.870000000000001,-0.01530543001822482,Ghaziabad,2
2019-2,1.870000000000001,-0.016190736400111594,Gorakhpur,2
2019-2,-0.5266666666666664,-0.01604319675678545,Gwalior,4
2019-2,0.5300000000000002,-0.016574281319100714,Hyderabad,2
2019-2,0.5133333333333336,-0.015646275528183096,Imphal,2
2019-2,-0.5266666666666664,-0.016076840863166922,Indore,4
2019-2,-0.5266666666666664,-0.01610537045244044,Jabalpur,4
2019-2,1.7100000000000009,-0.015935769338305983,Jaipur,2
2019-2,-0.6233333333333348,-0.01608198608869363,Jalandhar,4
2019-2,1.7100000000000009,-0.012050849330013755,Jodhpur,2
2019-2,1.870000000000001,-0.016336986649287233,Kanpur,2
2019-2,0.8966666666666665,-0.016660141523581973,Kochi,2
2019-2,0.5133333333333336,-0.01584258911149533,Kohima,2
2019-2,-0.07000000000000028,-0.017189289424118792,Kolkata,4
2019-2,1.7100000000000009,-0.015764590619972985,Kota,2
2019-2,0.8966666666666665,-0.016247610597214107,Kozhikode,2
2019-2,1.870000000000001,-0.016469949462534245,Lucknow,2
2019-2,-0.6233333333333348,-0.01455370015625329,Ludhiana,4
2019-2,2.4033333333333333,-0.01569797234679908,Mangalore,2
2019-2,1.870000000000001,-0.015883111902909808,Meerut,2
2019-2,1.870000000000001,-0.015943921497294344,Moradabad,2
2019-2,0.4333333333333327,-0.0182280732459989,Mumbai,2
2019-2,2.4033333333333333,-0.015410451732403935,Mysuru,2
2019-2,0.4333333333333327,-0.01651565390871526,Nashik,2
2019-2,0.6333333333333346,-0.015927624418157343,Patna,2
2019-2,1.870000000000001,-0.01604156440028018,Prayagraj,2
2019-2,-0.5666666666666668,-0.01554818577596194,Puducherry,4
2019-2,0.4333333333333327,-0.01714064689824768,Pune,2
2019-2,0.12999999999999945,-0.01551905892684019,Shillong,2
2019-2,0.4333333333333327,-0.017745746141955482,Solapur,2
2019-2,-1.953333333333335,-0.015789385906507303,Srinagar,4
2019-2,0.8966666666666665,-0.016156738043608093,Thiruvananthapuram,2
2019-2,1.870000000000001,-0.01593591451007248,Varanasi,2
2019-2,-1.4966666666666666,-0.017848754808882678,Visakhapatnam,4
2019-2,-0.41666666666666785,-0.015723371521127655,Gangtok,4
2019-3,-0.06666666666666643,-0.004978105125586468,Agartala,4
2019-3,-1.1233333333333348,-0.004716850290485158,Agra,4
2019-3,0.1399999999999988,-0.004782686816763748,Aizwal,2
2019-3,-0.1533333333333342,-0.004727964184726291,Amritsar,4
2019-3,-0.1466666666666656,-0.006037169914504398,Asansol,4
2019-3,0.5166666666666666,-0.004619525534416857,Aurangabad,2
2019-3,-1.1233333333333348,-0.004558018961649091,Bareilly,4
2019-3,-2.2266666666666666,-0.005015202165935789,Belgaum,4
2019-3,-2.2266666666666666,-0.004764820119535218,Bengaluru,4
2019-3,-0.08999999999999986,-0.004556443799201587,Bhopal,4
2019-3,-0.1533333333333342,-0.004921158909179768,Chandigarh,4
2019-3,3.0233333333333334,-0.004713308989143045,Chennai,2
2019-3,3.0233333333333334,-0.005498658203192425,Coimbatore,2
2019-3,1.0299999999999985,-0.004633609207342182,Dehradun,2
2019-3,5.070000000000002,-0.006517612863553568,Delhi,2
2019-3,0.5466666666666669,-0.0074145228858826795,Faridabad,2
2019-3,1.0166666666666666,-0.0035386349322670263,Gandhinagar,2
2019-3,-1.1233333333333348,-0.007240424017228908,Ghaziabad,4
2019-3,-1.1233333333333348,-0.004663078164906048,Gorakhpur,4
2019-3,-0.08999999999999986,-0.004623952352977509,Gwalior,4
2019-3,0.33000000000000007,-0.006371820299693881,Hyderabad,2
2019-3,0.1399999999999988,-0.004853954352265377,Imphal,2
2019-3,-0.08999999999999986,-0.004232266026870102,Indore,4
2019-3,-0.08999999999999986,-0.004589496259792686,Jabalpur,4
2019-3,-0.7533333333333356,-0.004814685516897871,Jaipur,4
2019-3,-0.1533333333333342,-0.0035246933245335066,Jalandhar,4
2019-3,-0.7533333333333356,-0.0052292589577475485,Jodhpur,4
2019-3,-1.1233333333333348,-0.00467002884199319,Kanpur,4
2019-3,-0.796666666666666,-0.0042200319882981785,Kochi,4
2019-3,0.1399999999999988,-0.004803021081281944,Kohima,2
2019-3,-0.1466666666666656,-0.006815769140758432,Kolkata,4
2019-3,-0.7533333333333356,-0.005028187401217854,Kota,4
2019-3,-0.796666666666666,-0.004439217873305007,Kozhikode,4
2019-3,-1.1233333333333348,-0.0048458573729204535,Lucknow,4
2019-3,-0.1533333333333342,-0.004828667380046836,Ludhiana,4
2019-3,-2.2266666666666666,-0.00466153617439867,Mangalore,4
2019-3,-1.1233333333333348,-0.004893964714608817,Meerut,4
2019-3,-1.1233333333333348,-0.004577277537287788,Moradabad,4
2019-3,0.5166666666666666,-0.00489090963856037,Mumbai,2
2019-3,-2.2266666666666666,-0.006071036526371032,Mysuru,4
2019-3,0.5166666666666666,-0.003609095096739401,Nashik,2
2019-3,0.7966666666666669,-0.004750085730691911,Patna,2
2019-3,-1.1233333333333348,-0.004611523368378695,Prayagraj,4
2019-3,2.3600000000000003,-0.004499351948599045,Puducherry,2
2019-3,0.5166666666666666,-0.00593524452645669,Pune,2
2019-3,-2.3133333333333335,-0.005047441383719223,Shillong,4
2019-3,0.5166666666666666,-0.0071190103536615396,Solapur,2
